POC1A	WDR51A
CFAP36	CCDC104
EMC3	TMEM111
CNOT11	C2ORF29
C11orf57	C11ORF57
DROSHA	RNASEN
EMC1	KIAA0090
MSRB1	SEPX1
KDM1A	KDM1
SRSF10	FUSIP1
PIANP	C12ORF53
ORC6	ORC6L
CTDNEP1	DULLARD
SKIDA1	C10ORF140
TADA3	TADA3L
MTURN	C7ORF41
CEP41	TSGA14
SUPT20H	FAM48A
MSMO1	SC4MOL
METTL22	C16ORF68
ORC3	ORC3L
PAM16	MAGMAS
RTCB	C22ORF28
RAPGEF1	RASGRF2
MIS18A	C21ORF45
MMS22L	C6ORF167
CDK12	CRKRS
AURKAIP1	AIP
SOGA1	C20ORF117
CXorf40A	CXORF40A
C22orf39	C22ORF39
CDC45	CDC45L
MTERF3	MTERFD1
C9orf89	C9ORF89
FAM216A	C12ORF24
MIEF1	SMCR7L
GID4	C17ORF39
C16orf45	C16ORF45
CEP57L1	C6ORF182
RRNAD1	C1ORF66
CDK14	PFTK1
PHYKPL	AGXT2L2
C14orf39	C14ORF39
RABL6	C9ORF86
IFT22	RABL5
NDUFAF7	C2ORF56
NREP	C5ORF13
NEMF	SDCCAG1
FAM204A	C10ORF84
SCAF4	SFRS15
NYNRIN	KIAA1305
C6orf48	C6ORF48
PPP1R21	KLRAQ1
C5orf24	C5ORF24
C5orf34	C5ORF34
MZT2B	FAM128B
CCP110	CP110
POGLUT1	KTELC1
MTERF4	MTERFD2
C19orf48	C19ORF48
AGO1	EIF2C1
ALYREF	THOC4
MALSU1	C7ORF30
FTH1	MYBPC3
TAB1	MAP3K7IP1
SLIRP	C14ORF156
C19orf44	C19ORF44
IFT43	C14ORF179
C9orf85	C9ORF85
EMC9	FAM158A
CNEP1R1	TMEM188
CTC1	C17ORF68
EPG5	KIAA1632
RBFOX2	RBM9
C11orf30	C11ORF30
CMSS1	C3ORF26
C5orf45	C5ORF45
C16orf13	C16ORF13
C1orf86	C1ORF86
POC5	C5ORF37
FAM193A	C4ORF8
NIFK	MKI67IP
C9orf72	C9ORF72
LDLRAD4	C18ORF1
MOB4	MOBKL3
ARHGEF26	SGEF
SEL1L3	KIAA0746
C11orf49	C11ORF49
CAAP1	C9ORF82
CDK16	PCTK1
LTN1	RNF160
C17orf53	C17ORF53
DIMT1	DIMT1L
C12orf29	C12ORF29
ORC5	ORC5L
CERS2	LASS2
TEFM	C17ORF42
CFAP44	WDR52
C15orf41	C15ORF41
C5orf51	C5ORF51
KAT8	MYST1
PKM	PKM2
SMIM14	C4ORF34
TIMM10B	FXC1
KIAA2026	KIAA1797
ARHGAP44	RICH2
CHMP3	VPS24
SUN1	UNC84A
C14orf1	C14ORF1
LRRFIP1	TRAIP
CCSAP	C1ORF96
SRSF2	SFRS2
ARL17A	ARL17P1
CEP112	CCDC46
GUCD1	C22ORF13
SRSF9	SFRS9
CERS5	LASS5
C17orf75	C17ORF75
C6orf62	C6ORF62
CDK19	CDC2L6
ANAPC15	C11ORF51
RTFDC1	C20ORF43
MSANTD3	C9ORF30
C1orf174	C1ORF174
ORC4	ORC4L
LAMTOR5	HBXIP
C2CD5	KIAA0528
MGME1	C20ORF72
CELF2	CUGBP2
SFR1	C10ORF78
C1orf56	C1ORF56
C2orf69	C2ORF69
ARHGAP35	GRLF1
AGO3	EIF2C3
JADE1	PHF17
NAA25	C12ORF30
C5orf22	C5ORF22
C1orf159	C1ORF159
CCDC174	C3ORF19
NELFCD	TH1L
AAMDC	C11ORF67
CERS6	LASS6
SPECC1L	CYTSA
SRSF6	SFRS6
MSANTD2	C11ORF61
KANSL1L	C2ORF67
SLC35G2	TMEM22
RSRP1	C1ORF63
PRRC2C	BAT2D1
KALRN	RAD51L3
HMGN5	NSBP1
TIMM21	C18ORF55
MAATS1	C3ORF15
RALGAPB	KIAA1219
PITHD1	C1ORF128
SMDT1	C22ORF32
C11orf70	C11ORF70
SPDL1	CCDC99
FAM219A	C9ORF25
MAGED4	MAGEA1
SMIM7	C19ORF42
COPRS	C17ORF79
DPH6	ATPBD4
PNISR	SFRS18
IKBIP	IKIP
ELP5	C17ORF81
PARPBP	C12ORF48
MGA	MGAM
PROSER1	C13ORF23
KXD1	C19ORF50
PAXBP1	C21ORF66
C14orf159	C14ORF159
PBDC1	CXORF26
SREK1	SFRS12
L3HYPDH	C14ORF149
COA1	C7ORF44
TBC1D31	WDR67
GSE1	KIAA0182
ATAT1	C6ORF134
SMIM11	FAM165B
EMC10	C19ORF63
C12orf57	C12ORF57
C15orf57	C15ORF57
MTFR1L	FAM54B
C3orf14	C3ORF14
NDC1	TMEM48
MYL12B	MYLPF
C3orf38	C3ORF38
ATG13	KIAA0652
KIAA1551	C12ORF35
RWDD4	RWDD4A
DZANK1	C20ORF12
CFAP20	C16ORF80
METTL16	METT10D
C18orf32	C18ORF32
HSD17B7	HSD17B7P2
COA4	CHCHD8
BABAM1	C19ORF62
C5orf15	C5ORF15
MCMBP	C10ORF119
C11orf54	C11ORF54
C14orf166	C14ORF166
MOB3B	MOBKL2B
PCNXL4	C14ORF135
BRAT1	C7ORF27
METTL17	METT11D1
EMC4	TMEM85
C8orf59	C8ORF59
C6orf203	C6ORF203
C9orf16	C9ORF16
ANAPC16	C10ORF104
C1orf35	C1ORF35
HMCES	C3ORF37
AP5M1	MUDENG
NPIPB3	NPIPL3
SMIM8	C6ORF162
C3orf62	C3ORF62
CCDC186	C10ORF118
HNRNPLL	HNRPLL
C5orf30	C5ORF30
IST1	KIAA0174
MICU1	CBARA1
LRR1	PPIL5
RALGAPA1	GARNL1
GPALPP1	KIAA1704
C14orf169	C14ORF169
AGAP4	AGAP8
GINM1	C6ORF72
RAD51B	RAD51L1
C1orf43	C1ORF43
GPANK1	BAT4
GID8	C20ORF11
CNPPD1	C2ORF24
RHNO1	C12ORF32
TICRR	C15ORF42
FAM208A	C3ORF63
PEX2	PXMP3
MOB1B	MOBKL1A
SMG9	C19ORF61
CDIP1	C16ORF5
FAM219B	C15ORF17
KAT7	MYST2
CCSER2	FAM190B
DDX39B	BAT1
CYB561A3	CYBASC3
MOB3A	MOBKL2A
ELMSAN1	C14ORF43
C9orf142	C9ORF142
CACUL1	C10ORF46
CELF1	CUGBP1
MOB1A	MOBKL1B
C1orf61	C1ORF61
HNRNPDL	HNRPDL
SMIM15	C5ORF43
KAT6B	MYST4
FAM217B	C20ORF177
NTPCR	C1ORF57
PSMC6	CCRK
MAU2	KIAA0892
TAB2	MAP3K7IP2
LINC00116	NCRNA00116
SREK1IP1	SFRS12IP1
PLGRKT	C9ORF46
SPRYD7	C13ORF1
ECI1	DCI
FAM208B	C10ORF18
DPCD	RP11-529I10.4
C11orf31	C11ORF31
BRIX1	BXDC2
SPPL3	IMMP2L
TIMMDC1	C3ORF1
SAYSD1	C6ORF64
BAG6	BAT3
SAPCD2	C9ORF140
MIS18BP1	C14ORF106
SMIM19	C8ORF40
CTPS1	CTPS
SRSF12	SRRP35
AGO4	EIF2C4
RBFA	C18ORF22
FAM221A	C7ORF46
GPATCH2L	C14ORF118
SPTSSA	C14ORF147
SYBU	GOLSYN
GPATCH11	CCDC75
C5orf42	C5ORF42
CEP95	CCDC45
AJUBA	JUB
MPLKIP	C7ORF11
MRPL57	MRP63
SRSF4	SFRS4
C18orf21	C18ORF21
ACSM6	C10ORF129
METTL15	METT5D1
ARHGAP32	RICS
EPT1	SELI
IFT27	RABL4
CWC25	CCDC49
CENPC	CENPC1
MPC1	BRP44L
C19orf12	C19ORF12
COX20	FAM36A
AP5S1	C20ORF29
EFCAB11	C14ORF143
EMC2	TTC35
SARAF	TMEM66
PPIP5K2	HISPPD1
NAA38	LSMD1
FAM222B	C17ORF63
NAA15	NARG1
ATG14	KIAA0831
COA5	C2ORF64
C17orf80	C17ORF80
ERV3-1	ERV3
ORC2	ORC2L
C1orf198	C1ORF198
FAXDC2	C5ORF4
C1orf131	C1ORF131
SCAF8	RBM16
COA3	CCDC56
C21orf58	C21ORF58
KANSL2	C12ORF41
HYPK	C15ORF63
SMIM12	C1ORF212
MZT2A	FAM128A
C8orf33	C8ORF33
C14orf2	C14ORF2
NAA16	NARG1L
C19orf53	C19ORF53
RALGAPA2	C20ORF74
PRIMPOL	CCDC111
FRA10AC1	C10ORF4
HECTD4	C12ORF51
CFAP97	KIAA1430
FAM210A	C18ORF19
AREL1	KIAA0317
KMT2E	MLL5
C1orf21	C1ORF21
METTL21A	FAM119A
DNPH1	C6ORF108
ARHGAP33	SNX26
C14orf79	C14ORF79
SC5D	SC5DL
C2orf47	C2ORF47
COLGALT1	GLT25D1
CEP85L	C6ORF204
C14orf142	C14ORF142
C17orf70	C17ORF70
C7orf55	C7ORF55
APOPT1	C14ORF153
CAMSAP2	CAMSAP1L1
OARD1	C6ORF130
EMC6	TMEM93
SETD9	C5ORF35
NDUFAF6	C8ORF38
SNX29	RUNDC2A
CEP83	CCDC41
AAR2	C20ORF4
CEP85	CCDC21
SUGP2	SFRS14
NRDE2	C14ORF102
C16orf87	C16ORF87
COX14	C12ORF62
NAA40	NAT11
MICU2	EFHA1
MPC2	BRP44
CEP89	CCDC123
TEX30	C13ORF27
FAM213A	C10ORF58
CLHC1	C2ORF63
C4orf29	C4ORF29
C3orf17	C3ORF17
ELP6	C3ORF75
CEP162	KIAA1009
KAT6A	MYST3
R3HCC1L	C10ORF28
STRIP1	FAM40A
CWC27	SDCCAG10
C21orf59	C21ORF59
DTD2	C14ORF126
DDX39A	DDX39
C9orf24	C9ORF24
CDHR3	FLJ23834
C17orf62	C17ORF62
C16orf62	C16ORF62
CMC2	C16ORF61
PTGES3	TMED10
KLHL42	KLHDC5
NADK2	C5ORF33
SMG1	ENPP2
SRSF3	SFRS3
CEP44	KIAA1712
C11orf73	C11ORF73
FAM199X	CXORF39
C19orf43	C19ORF43
C12orf65	C12ORF65
CXorf23	CXORF23
C12orf10	C12ORF10
C10orf32	C10ORF32
PROSER3	C19ORF55
NT5C3B	NT5C3L
ENDOV	FLJ35220
INIP	C9ORF80
NUDT19	RP2
C1orf109	C1ORF109
MIEN1	C17ORF37
C12orf66	C12ORF66
DDX11	CHL1
CCDC171	C9ORF93
KMT2C	MLL3
PAFAH1B1	PLA2G7
SOGA3	C6ORF174
